ID,Actual Answer,Generated Answer
1854,no,no
1855,yes,yes
1856,no,no
1857,yes,yes
1858,no,no
1859,yes,yes
1860,no,no
1861,yes,yes
1862,no,no
1863,yes,yes
1864,yes,yes
1865,no,no
1866,yes,yes
1867,no,no
1868,yes,yes
1869,no,no
1870,no,no
1871,yes,yes
1872,yes,yes
1873,no,no
1874,yes,yes
1875,no,no
1876,yes,yes
1877,no,yes
1878,yes,yes
1879,no,no
1880,yes,yes
1881,no,no
1882,yes,yes
1883,yes,yes
1884,no,no
1885,yes,yes
1886,no,no
1887,yes,yes
1888,no,no
1889,no,no
1890,yes,yes
1891,no,no
1892,yes,yes
1893,no,no
1894,yes,yes
1895,no,no
1896,yes,yes
1897,no,no
1898,yes,yes
1899,no,no
1900,yes,yes
1901,no,no
1902,yes,yes
1903,no,no
1904,yes,yes
1905,no,no
1906,yes,no
1907,yes,yes
1908,no,no
1909,yes,yes
1910,no,yes
1911,no,yes
1912,yes,yes
1913,no,no
1914,yes,yes
1915,no,no
1916,yes,yes
1917,yes,yes
1918,no,no
1919,yes,yes
1920,yes,yes
1921,yes,yes
1922,yes,yes
1923,yes,yes
1924,yes,yes
1925,yes,yes
1926,no,yes
1927,yes,yes
1928,yes,yes
1929,yes,yes
1930,no,no
1931,yes,yes
1932,no,no
1933,yes,yes
1934,no,no
1935,yes,yes
1936,no,no
1937,yes,yes
1938,yes,yes
1939,no,no
1940,yes,yes
1941,no,yes
1942,yes,yes
1943,no,no
1944,yes,yes
1945,no,yes
1946,yes,yes
1947,no,no
1948,yes,yes
1949,no,no
1950,yes,yes
1951,no,no
1952,yes,yes
1953,no,no
1954,yes,yes
1955,no,no
1956,yes,yes
1957,no,no
1958,yes,yes
1959,no,no
1960,yes,yes
1961,no,no
1962,yes,yes
1963,no,yes
1964,yes,yes
1965,no,no
1966,yes,yes
1967,yes,yes
1968,no,no
1969,yes,yes
1970,no,no
1971,yes,yes
1972,no,no
1973,no,no
1974,yes,yes
1975,no,no
1976,yes,yes
1977,no,no
1978,yes,yes
1979,no,yes
1980,yes,yes
1981,no,no
1982,yes,yes
1983,no,no
1984,yes,yes
1985,no,no
1986,yes,yes
1987,no,no
1988,yes,yes
1989,no,no
1990,yes,yes
1991,yes,yes
1992,no,no
1993,yes,yes
1994,no,no
1995,yes,yes
1996,no,no
1997,no,no
1998,yes,yes
1999,no,no
2000,yes,yes
2001,no,no
2002,yes,yes
2003,no,no
2004,yes,yes
2005,no,no
2006,yes,yes
2007,no,no
2008,yes,yes
2009,no,no
2010,yes,yes
2011,no,no
2012,yes,yes
2013,no,no
2014,yes,yes
2015,yes,yes
2016,no,yes
2017,yes,yes
2018,no,no
2019,yes,yes
2020,no,no
2021,yes,yes
2022,no,no
2023,no,no
2024,yes,yes
2025,no,no
2026,yes,yes
2027,no,no
2028,yes,yes
2029,no,no
2030,yes,yes
2031,no,no
2032,yes,yes
2033,no,no
2034,yes,yes
2035,no,no
2036,yes,yes
2037,no,no
2038,yes,yes
2039,no,no
2040,yes,yes
2041,no,no
2042,yes,yes
2043,no,no
2044,yes,no
2045,yes,yes
2046,no,no
2047,yes,yes
2048,no,no
2049,yes,yes
2050,no,no
2051,yes,yes
2052,no,no
2053,no,no
2054,yes,yes
2055,no,yes
2056,yes,yes
2057,no,no
2058,yes,yes
2059,no,no
2060,yes,yes
2061,no,no
2062,yes,yes
2063,no,no
2064,yes,yes
2065,no,no
2066,yes,yes
2067,no,no
2068,yes,yes
2069,no,no
2070,yes,yes
2071,no,no
2072,yes,yes
2073,yes,no
2074,no,yes
2075,yes,yes
2076,no,no
2077,yes,yes
2078,yes,yes
2079,yes,yes
2080,yes,yes
2081,yes,yes
2082,yes,yes
2083,yes,yes
2084,no,no
2085,no,no
2086,yes,no
2087,no,no
2088,no,no
2089,no,yes
2090,no,yes
2091,no,no
2092,no,no
2093,no,no
2094,no,no
2095,no,yes
2096,no,no
2097,yes,no
2098,no,no
2099,yes,yes
2100,no,no
2101,no,no
2102,yes,yes
2103,no,no
2104,yes,yes
2105,no,yes
2106,yes,yes
2107,no,no
2108,yes,yes
2109,no,no
2110,yes,yes
2111,no,no
2112,yes,yes
2113,no,no
2114,yes,yes
2115,no,no
2116,yes,yes
2117,no,no
2118,yes,yes
2119,no,no
2120,yes,yes
2121,no,yes
2122,yes,yes
2123,yes,yes
2124,no,no
2125,yes,yes
2126,yes,yes
2127,yes,yes
2128,yes,yes
2129,no,yes
2130,no,no
2131,yes,yes
2132,no,no
2133,yes,yes
2134,no,no
2135,yes,yes
2136,no,no
2137,yes,yes
2138,no,no
2139,yes,no
2140,no,no
2141,yes,yes
2142,no,no
2143,yes,yes
2144,no,no
2145,yes,yes
2146,no,no
2147,yes,yes
2148,no,no
2149,yes,yes
2150,no,no
2151,yes,yes
2152,yes,yes
2153,yes,no
2154,no,no
2155,no,yes
2156,yes,no
2157,yes,yes
2158,yes,yes
2159,yes,yes
2160,yes,yes
2161,yes,yes
2162,no,no
2163,yes,yes
2164,yes,no
2165,yes,yes
2166,yes,yes
2167,yes,yes
2168,yes,yes
2169,yes,yes
2170,yes,no
2171,yes,yes
2172,yes,yes
2173,yes,yes
2174,yes,yes
2175,yes,yes
2176,yes,no
2177,yes,yes
2178,yes,yes
2179,no,no
2180,yes,yes
2181,no,no
2182,yes,yes
2183,yes,yes
2184,yes,yes
2185,yes,yes
2186,yes,yes
2187,yes,yes
2188,yes,yes
2189,yes,yes
2190,yes,yes
2191,yes,no
2192,yes,yes
2193,yes,no
2194,yes,yes
2195,yes,yes
2196,yes,yes
2197,yes,yes
2198,yes,yes
2199,yes,yes
2200,no,no
2201,yes,yes
2202,yes,yes
2203,yes,yes
2204,yes,no
2205,yes,yes
2206,yes,no
2207,yes,yes
2208,yes,no
2209,yes,yes
2210,yes,yes
2211,yes,yes
2212,yes,yes
2213,yes,no
2214,no,yes
2215,yes,yes
2216,no,no
2217,yes,yes
2218,no,no
2219,yes,yes
2220,no,no
2221,yes,yes
2222,no,yes
2223,yes,yes
2224,no,no
2225,yes,yes
2226,no,no
2227,yes,no
2228,no,yes
2229,yes,yes
2230,no,no
2231,yes,no
2232,yes,yes
2233,no,no
2234,yes,yes
2235,no,no
2236,yes,yes
2237,yes,yes
2238,no,no
2239,yes,yes
2240,yes,yes
2241,yes,yes
2242,yes,yes
2243,yes,yes
2244,yes,yes
2245,yes,yes
2246,yes,yes
2247,yes,yes
2248,yes,yes
2249,yes,yes
2250,yes,yes
2251,yes,yes
2252,yes,no
2253,yes,yes
2254,yes,yes
2255,no,no
2256,yes,yes
2257,yes,yes
2258,yes,yes
2259,yes,yes
2260,yes,yes
2261,yes,yes
2262,no,no
2263,yes,yes
2264,no,yes
2265,yes,yes
2266,no,yes
2267,no,no
2268,yes,yes
2269,no,no
2270,yes,yes
2271,no,no
2272,yes,yes
2273,no,no
2274,yes,yes
2275,no,no
2276,yes,yes
2277,no,no
2278,yes,yes
2279,no,no
2280,yes,yes
2281,no,no
2282,yes,yes
2283,no,no
2284,yes,yes
2285,no,no
2286,yes,no
2287,yes,yes
2288,no,no
2289,yes,yes
2290,no,yes
2291,yes,yes
2292,no,no
2293,no,yes
2294,yes,yes
2295,no,no
2296,yes,yes
2297,no,no
2298,yes,yes
2299,no,no
2300,yes,yes
2301,no,no
2302,yes,yes
2303,no,yes
2304,yes,yes
2305,no,no
2306,yes,yes
2307,no,no
2308,yes,yes
2309,no,no
2310,yes,yes
2311,no,no
2312,yes,yes
2313,no,no
2314,yes,no
2315,yes,yes
2316,no,no
2317,yes,yes
2318,no,no
2319,yes,yes
2320,no,no
2321,yes,yes
2322,no,yes
2323,no,yes
2324,yes,yes
2325,no,no
2326,yes,yes
2327,no,yes
2328,yes,yes
2329,no,no
2330,yes,yes
2331,no,no
2332,yes,yes
2333,yes,yes
2334,yes,yes
2335,yes,yes
2336,yes,yes
2337,yes,yes
2338,yes,yes
2339,yes,yes
2340,yes,no
2341,no,no
2342,yes,yes
2343,no,no
2344,yes,yes
2345,no,no
2346,yes,yes
2347,no,no
2348,no,yes
2349,yes,yes
2350,no,no
2351,yes,yes
2352,no,no
2353,yes,yes
2354,no,no
2355,yes,yes
2356,yes,no
2357,yes,yes
2358,yes,yes
2359,yes,yes
2360,yes,yes
2361,yes,yes
2362,yes,yes
2363,no,no
2364,no,no
2365,no,yes
2366,no,no
2367,no,no
2368,no,yes
2369,yes,no
2370,no,no
2371,no,yes
2372,no,no
2373,yes,yes
2374,no,no
2375,no,yes
2376,yes,yes
2377,no,no
2378,yes,yes
2379,no,no
2380,yes,yes
2381,no,no
2382,yes,yes
2383,no,no
2384,yes,yes
2385,no,yes
2386,yes,yes
2387,no,no
2388,yes,yes
2389,no,no
2390,yes,yes
2391,yes,yes
2392,no,no
2393,yes,yes
2394,no,no
2395,yes,yes
2396,no,no
2397,no,yes
2398,yes,yes
2399,no,no
2400,yes,yes
2401,no,no
2402,yes,yes
2403,no,no
2404,yes,yes
2405,no,yes
2406,yes,yes
2407,no,no
2408,yes,yes
2409,no,no
2410,yes,yes
2411,yes,no
2412,no,no
2413,yes,yes
2414,no,no
2415,yes,yes
2416,no,no
2417,yes,yes
2418,no,no
2419,no,yes
2420,yes,yes
2421,no,no
2422,yes,yes
2423,no,yes
2424,yes,yes
2425,no,no
2426,yes,yes
2427,no,no
2428,yes,yes
2429,no,no
2430,yes,yes
2431,no,no
2432,yes,yes
2433,no,no
2434,yes,yes
2435,no,no
2436,yes,yes
2437,no,no
2438,yes,yes
2439,no,no
2440,yes,no
2441,yes,yes
2442,no,no
2443,yes,yes
2444,no,yes
2445,yes,yes
2446,no,no
2447,no,no
2448,yes,yes
2449,yes,yes
2450,yes,yes
2451,yes,yes
2452,yes,yes
2453,yes,yes
2454,yes,yes
2455,no,yes
2456,yes,yes
2457,yes,yes
2458,yes,yes
2459,yes,yes
2460,no,no
2461,no,no
2462,yes,yes
2463,no,no
2464,yes,yes
2465,no,no
2466,yes,yes
2467,no,yes
2468,yes,yes
2469,no,no
2470,yes,yes
2471,no,yes
2472,yes,yes
2473,no,no
2474,yes,yes
2475,no,yes
2476,yes,yes
2477,no,no
2478,yes,yes
2479,yes,yes
2480,no,no
2481,yes,yes
2482,no,no
2483,yes,yes
2484,no,no
2485,yes,yes
2486,no,yes
2487,no,no
2488,yes,yes
2489,no,no
2490,yes,yes
2491,no,no
2492,yes,yes
2493,no,no
2494,yes,yes
2495,no,no
2496,yes,yes
2497,no,no
2498,yes,yes
2499,no,no
2500,yes,yes
2501,yes,yes
2502,no,no
2503,yes,yes
2504,no,no
2505,yes,yes
2506,no,no
2507,no,no
2508,yes,no
2509,no,no
2510,yes,yes
2511,no,no
2512,yes,no
2513,no,no
2514,yes,yes
2515,no,no
2516,yes,yes
2517,no,yes
2518,yes,yes
2519,no,no
2520,yes,yes
2521,no,no
2522,yes,yes
2523,no,yes
2524,yes,yes
2525,yes,yes
2526,yes,yes
2527,yes,no
2528,yes,yes
2529,yes,yes
2530,yes,no
2531,yes,yes
2532,no,no
2533,yes,yes
2534,yes,yes
2535,yes,yes
2536,yes,yes
2537,yes,yes
2538,yes,yes
2539,yes,yes
2540,yes,yes
2541,yes,yes
2542,yes,yes
2543,yes,yes
2544,yes,yes
2545,yes,no
2546,yes,yes
2547,no,no
2548,yes,yes
2549,no,no
2550,yes,yes
2551,no,no
2552,no,no
2553,yes,yes
2554,no,no
2555,yes,yes
2556,no,no
2557,yes,yes
2558,no,no
2559,yes,yes
2560,no,no
2561,yes,yes
2562,no,no
2563,yes,yes
2564,no,no
2565,yes,yes
2566,no,no
2567,yes,yes
2568,no,no
2569,yes,yes
2570,no,no
2571,yes,yes
2572,yes,yes
2573,no,no
2574,yes,yes
2575,no,no
2576,yes,yes
2577,yes,yes
2578,no,no
2579,no,no
2580,yes,yes
2581,no,no
2582,yes,yes
2583,no,no
2584,yes,yes
2585,yes,yes
2586,no,no
2587,yes,yes
2588,no,no
2589,yes,yes
2590,no,no
2591,yes,yes
2592,no,no
2593,yes,yes
2594,no,no
2595,yes,yes
2596,no,no
2597,no,yes
2598,yes,yes
2599,no,no
2600,yes,yes
2601,no,no
2602,yes,yes
2603,no,no
2604,yes,yes
2605,no,no
2606,yes,yes
2607,no,no
2608,yes,yes
2609,no,no
2610,yes,yes
2611,no,no
2612,yes,yes
2613,no,no
2614,yes,yes
2615,no,no
2616,yes,yes
2617,yes,yes
2618,no,no
2619,yes,yes
2620,no,no
2621,yes,yes
2622,no,no
2623,no,no
2624,yes,yes
2625,no,no
2626,yes,yes
2627,no,no
2628,yes,yes
2629,no,no
2630,yes,yes
2631,no,no
2632,yes,yes
2633,no,no
2634,yes,yes
2635,no,no
2636,yes,yes
2637,no,no
2638,yes,yes
2639,no,no
2640,no,yes
2641,yes,yes
2642,yes,yes
2643,no,no
2644,yes,yes
2645,no,no
2646,yes,yes
2647,no,no
2648,no,yes
2649,yes,yes
2650,no,no
2651,yes,yes
2652,no,yes
2653,yes,yes
2654,no,no
2655,yes,yes
2656,no,no
2657,yes,yes
2658,no,no
2659,yes,yes
2660,no,no
2661,yes,yes
2662,no,no
2663,yes,yes
2664,no,no
2665,yes,yes
2666,yes,yes
2667,no,no
2668,yes,yes
2669,no,no
2670,yes,yes
2671,no,no
2672,yes,yes
2673,no,yes
2674,no,yes
2675,yes,yes
2676,no,no
2677,yes,yes
2678,no,no
2679,yes,yes
2680,no,no
2681,yes,yes
2682,no,no
2683,yes,yes
2684,no,no
2685,yes,yes
2686,yes,yes
2687,no,no
2688,yes,yes
2689,no,no
2690,yes,yes
2691,no,no
2692,no,yes
2693,yes,yes
2694,no,no
2695,yes,yes
2696,no,no
2697,yes,yes
2698,no,no
2699,yes,yes
2700,no,no
2701,yes,yes
2702,no,no
2703,yes,yes
2704,no,no
2705,yes,yes
2706,yes,yes
2707,no,no
2708,yes,yes
2709,no,no
2710,yes,yes
2711,no,yes
2712,no,yes
2713,yes,yes
2714,no,no
2715,yes,yes
2716,no,yes
2717,yes,yes
2718,yes,yes
2719,no,no
2720,yes,yes
2721,no,no
2722,yes,yes
2723,no,no
2724,yes,yes
2725,no,no
2726,no,yes
2727,yes,yes
2728,no,no
2729,yes,yes
2730,no,no
2731,yes,yes
2732,no,no
2733,yes,yes
2734,no,no
2735,yes,yes
2736,no,no
2737,yes,yes
2738,no,no
2739,yes,yes
2740,yes,yes
2741,no,no
2742,yes,yes
2743,no,no
2744,yes,yes
2745,no,no
2746,yes,yes
2747,no,no
2748,yes,yes
2749,no,no
2750,yes,yes
2751,no,no
2752,yes,yes
2753,no,no
2754,yes,yes
2755,yes,yes
2756,no,yes
2757,yes,yes
2758,no,no
2759,yes,yes
2760,no,no
2761,no,no
2762,yes,yes
2763,no,no
2764,yes,yes
2765,no,no
2766,yes,yes
2767,no,no
2768,yes,yes
2769,no,no
2770,yes,yes
2771,no,no
2772,yes,yes
2773,no,no
2774,yes,yes
2775,no,no
2776,yes,yes
2777,no,no
2778,yes,no
2779,yes,yes
2780,no,no
2781,yes,no
2782,no,no
2783,yes,yes
2784,no,no
2785,no,yes
2786,yes,yes
2787,no,no
2788,yes,yes
2789,no,no
2790,yes,yes
2791,no,no
2792,yes,yes
2793,no,yes
2794,yes,yes
2795,no,no
2796,yes,yes
2797,no,no
2798,yes,yes
2799,yes,yes
2800,yes,yes
2801,yes,yes
2802,yes,no
2803,yes,yes
2804,yes,yes
2805,yes,yes
2806,no,no
2807,no,no
2808,yes,yes
2809,no,no
2810,yes,yes
2811,no,no
2812,yes,yes
2813,no,no
2814,yes,yes
2815,no,no
2816,yes,yes
2817,no,no
2818,yes,yes
2819,no,no
2820,yes,yes
2821,no,no
2822,yes,yes
2823,no,no
2824,yes,yes
2825,yes,yes
2826,yes,yes
2827,no,no
2828,yes,yes
2829,no,no
2830,yes,yes
2831,no,no
2832,no,no
2833,yes,yes
2834,no,no
2835,yes,yes
2836,no,no
2837,yes,yes
2838,no,no
2839,yes,yes
2840,no,no
2841,yes,yes
2842,no,no
2843,yes,yes
2844,no,no
2845,yes,yes
2846,no,no
2847,yes,yes
2848,no,no
2849,yes,no
2850,yes,yes
2851,no,no
2852,yes,yes
2853,no,yes
2854,yes,yes
2855,yes,yes
2856,no,no
2857,yes,yes
2858,yes,yes
2859,yes,yes
2860,yes,yes
2861,yes,yes
2862,yes,yes
2863,no,no
2864,yes,yes
2865,no,yes
2866,yes,yes
2867,no,yes
2868,no,no
2869,yes,yes
2870,no,no
2871,yes,yes
2872,no,no
2873,yes,yes
2874,no,no
2875,yes,yes
2876,no,no
2877,yes,yes
2878,no,no
2879,yes,yes
2880,no,no
2881,yes,yes
2882,no,no
2883,yes,yes
2884,no,no
2885,yes,yes
2886,no,no
2887,yes,yes
2888,no,no
2889,yes,yes
2890,no,no
2891,no,yes
2892,yes,yes
2893,no,no
2894,yes,yes
2895,no,no
2896,yes,yes
2897,no,no
2898,yes,yes
2899,no,no
2900,yes,yes
2901,no,yes
2902,yes,yes
2903,no,no
2904,yes,no
2905,yes,yes
2906,no,no
2907,yes,yes
2908,yes,yes
2909,no,no
2910,yes,yes
2911,yes,yes
2912,yes,yes
2913,no,no
2914,yes,yes
2915,no,no
2916,yes,yes
2917,no,no
2918,yes,yes
2919,no,no
2920,yes,yes
2921,no,no
2922,yes,yes
2923,no,no
2924,yes,yes
2925,no,no
2926,yes,no
2927,yes,yes
2928,no,no
2929,yes,yes
2930,no,no
2931,yes,yes
2932,no,no
2933,no,yes
2934,yes,yes
2935,no,no
2936,yes,yes
2937,no,no
2938,yes,yes
2939,no,no
2940,yes,yes
2941,no,no
2942,yes,yes
2943,no,no
2944,yes,yes
2945,no,no
2946,yes,yes
2947,no,no
2948,yes,yes
2949,no,no
2950,yes,no
2951,yes,yes
2952,no,no
2953,yes,yes
2954,no,no
2955,yes,yes
2956,no,no
2957,no,no
2958,yes,yes
2959,no,no
2960,yes,yes
2961,no,yes
2962,yes,yes
2963,no,no
2964,yes,yes
2965,no,no
2966,yes,yes
2967,no,no
2968,yes,yes
2969,no,yes
2970,yes,yes
2971,no,no
2972,yes,yes
2973,no,no
2974,yes,yes
2975,yes,yes
2976,no,no
2977,yes,yes
2978,no,no
2979,no,no
2980,yes,yes
2981,no,no
2982,yes,yes
2983,no,no
2984,yes,yes
2985,no,yes
2986,yes,yes
2987,yes,yes
2988,no,yes
2989,yes,yes
2990,no,no
2991,yes,yes
2992,no,no
2993,no,no
2994,yes,yes
2995,no,no
2996,yes,yes
2997,no,yes
2998,yes,yes
2999,no,no
3000,yes,no
3001,yes,yes
3002,no,no
3003,yes,yes
3004,no,no
3005,yes,yes
3006,no,no
3007,yes,yes
3008,no,no
3009,yes,yes
3010,no,no
3011,yes,no
3012,yes,yes
3013,no,no
3014,yes,yes
3015,no,no
3016,no,yes
3017,yes,yes
3018,no,no
3019,yes,yes
3020,no,no
3021,yes,yes
3022,no,no
3023,yes,yes
3024,no,no
3025,yes,yes
3026,no,no
3027,yes,yes
3028,no,no
3029,yes,yes
3030,yes,yes
3031,no,no
3032,yes,yes
3033,no,no
3034,yes,yes
3035,no,no
3036,no,no
3037,yes,yes
3038,no,no
3039,yes,no
3040,no,no
3041,yes,no
3042,yes,yes
3043,no,no
3044,yes,yes
3045,no,no
3046,yes,yes
3047,no,yes
3048,no,yes
3049,no,no
3050,no,no
3051,no,no
3052,no,yes
3053,no,no
3054,no,no
3055,no,yes
3056,no,no
3057,no,no
3058,no,yes
3059,no,yes
3060,yes,no
3061,yes,yes
3062,no,no
3063,yes,yes
3064,no,no
3065,no,no
3066,yes,yes
3067,no,no
3068,yes,yes
3069,no,no
3070,yes,yes
3071,no,yes
3072,yes,yes
3073,no,no
3074,yes,yes
3075,no,no
3076,yes,no
3077,no,no
3078,yes,yes
3079,no,no
3080,yes,yes
3081,yes,yes
3082,no,no
3083,yes,yes
3084,no,no
3085,yes,yes
3086,no,yes
3087,no,yes
3088,yes,yes
3089,no,no
3090,yes,yes
3091,no,no
3092,yes,yes
3093,no,no
3094,yes,yes
3095,yes,yes
3096,no,no
3097,yes,no
3098,no,no
3099,yes,yes
3100,no,no
3101,no,no
3102,yes,no
3103,no,no
3104,yes,yes
3105,no,no
3106,yes,yes
3107,no,no
3108,yes,yes
3109,no,no
3110,yes,yes
3111,no,no
3112,yes,yes
3113,no,no
3114,yes,yes
3115,yes,yes
3116,yes,yes
3117,yes,yes
3118,yes,yes
3119,yes,yes
3120,no,no
3121,no,no
3122,yes,yes
3123,no,no
3124,yes,yes
3125,no,no
3126,yes,yes
3127,no,no
3128,yes,yes
3129,no,no
3130,yes,yes
3131,no,no
3132,yes,yes
3133,no,no
3134,yes,yes
3135,no,no
3136,yes,yes
3137,yes,no
3138,yes,yes
3139,no,no
3140,yes,yes
3141,no,no
3142,yes,yes
3143,no,no
3144,no,no
3145,yes,yes
3146,no,no
3147,yes,yes
3148,no,no
3149,yes,yes
3150,no,no
3151,yes,yes
3152,no,no
3153,yes,yes
3154,no,no
3155,yes,yes
3156,yes,yes
3157,yes,yes
3158,yes,no
3159,yes,yes
3160,yes,yes
3161,yes,yes
3162,yes,yes
3163,no,yes
3164,yes,yes
3165,yes,yes
3166,yes,yes
3167,yes,yes
3168,yes,yes
3169,yes,yes
3170,yes,yes
3171,yes,yes
3172,yes,yes
3173,no,yes
3174,yes,yes
3175,no,no
3176,yes,yes
3177,no,yes
3178,yes,yes
3179,yes,yes
3180,no,no
3181,yes,yes
3182,yes,yes
3183,no,no
3184,yes,yes
3185,no,yes
3186,yes,no
3187,no,yes
3188,no,no
3189,yes,yes
3190,no,no
3191,yes,no
3192,no,no
3193,no,yes
3194,yes,yes
3195,no,no
3196,yes,no
3197,no,no
3198,no,no
3199,yes,yes
3200,yes,yes
3201,no,no
3202,yes,yes
3203,no,no
3204,yes,yes
3205,yes,yes
3206,no,yes
3207,yes,yes
3208,no,no
3209,yes,yes
3210,no,yes
3211,no,no
3212,yes,yes
3213,no,no
3214,yes,no
3215,no,no
3216,yes,no
3217,no,yes
3218,yes,yes
3219,no,no
3220,yes,yes
3221,no,no
3222,yes,no
3223,no,no
3224,yes,yes
3225,no,no
3226,yes,yes
3227,yes,yes
3228,no,no
3229,yes,yes
3230,no,no
3231,yes,no
3232,no,yes
3233,no,yes
3234,yes,no
3235,no,no
3236,yes,no
3237,no,no
3238,yes,no
3239,yes,yes
3240,yes,yes
3241,yes,yes
3242,no,yes
3243,yes,no
3244,yes,no
3245,no,no
3246,yes,yes
3247,no,yes
3248,no,yes
3249,yes,yes
3250,yes,no
3251,no,yes
3252,yes,yes
3253,no,yes
3254,yes,yes
3255,no,no
3256,no,yes
3257,yes,no
3258,no,no
3259,yes,yes
3260,no,no
3261,yes,yes
3262,no,no
3263,yes,yes
3264,no,no
3265,yes,yes
3266,yes,yes
3267,no,no
3268,yes,yes
3269,no,no
3270,yes,no
3271,no,yes
3272,yes,no
3273,yes,yes
3274,no,no
3275,yes,no
3276,no,yes
3277,yes,no
3278,no,yes
3279,no,no
3280,yes,yes
3281,no,yes
3282,yes,yes
3283,no,yes
3284,yes,yes
3285,no,no
3286,yes,no
3287,no,yes
3288,yes,yes
3289,no,no
3290,yes,no
3291,no,no
3292,yes,yes
3293,no,yes
3294,yes,no
3295,yes,yes
3296,no,yes
3297,yes,yes
3298,no,no
3299,yes,no
3300,no,yes
3301,no,no
3302,no,no
3303,yes,no
3304,no,yes
3305,yes,no
3306,no,yes
3307,yes,no
3308,no,no
3309,yes,yes
3310,no,no
3311,yes,no
3312,no,yes
3313,yes,yes
3314,no,yes
3315,yes,yes
3316,no,no
3317,yes,yes
3318,no,yes
3319,yes,yes
3320,yes,yes
3321,no,yes
3322,yes,yes
3323,no,no
3324,yes,yes
3325,no,yes
3326,no,no
3327,yes,yes
3328,no,no
3329,yes,yes
3330,no,no
3331,yes,yes
3332,no,yes
3333,yes,yes
3334,no,no
3335,yes,no
3336,no,yes
3337,yes,yes
3338,no,no
3339,yes,yes
3340,yes,yes
3341,no,yes
3342,yes,yes
3343,no,yes
3344,no,yes
3345,yes,yes
3346,no,no
3347,yes,yes
3348,no,yes
3349,yes,yes
3350,no,no
3351,yes,yes
3352,no,no
3353,yes,yes
3354,no,no
3355,yes,yes
3356,no,yes
3357,yes,yes
3358,no,no
3359,yes,no
3360,no,yes
3361,yes,yes
